name,platform,cluster,applications,backup_enabled,backup_ip,backup_location,business_owner,cpu_cores,criticality,datacenter,decommission_date,description,disks,environment,external_id,fqdn,ha_enabled,last_patch_date,last_verified_at,last_vuln_scan_date,lifecycle,memory_mb,monitoring_enabled,node,os_distribution,os_family,os_name,os_version,owner,pmp_enabled,private_ip,public_ip,security_remarks,sr_id,status,tags,technical_owner,vm_type
vm-vmw-011,vmware,vsphere-cluster-01,haproxy:load-balancer-team;keepalived,true,,s3://backups/vm-vmw-011,Finance Corp,8,critical,dc-west-02,,Fleet VM instance 011 hosting infrastructure services,scsi0:60:nvme-fast:thin,uat,vm-ext-1011,vm-vmw-011.example.com,true,2026-06-21,2026-07-17,2026-05-01,retired,4096,false,esxi-host-03,AlmaLinux 9.3,linux,AlmaLinux,9.3,Alex Lee,true,10.0.10.21:100:10.0.10.1,,Quarterly security audit passed,SR-50011,unknown,database;primary;critical;postgres,Database Admins,permanent
vm-pro-012,proxmox,pve-cluster-02,api-gateway;auth-service:security-team;rate-limiter,true,,,Marketing Dept,2,medium,dc-east-01,,Fleet VM instance 012 hosting infrastructure services,scsi0:120:nvme-pool:thin;scsi1:500:san-vol01:thick,staging,vm-ext-1012,vm-pro-012.example.com,true,2026-06-18,2026-07-23,2026-05-14,planned,2048,false,pve-node-01,Ubuntu 22.04 LTS,linux,Ubuntu,22.04,Sarah Jenkins,false,10.0.12.22:102:10.0.12.1,198.51.100.22:200:198.51.100.1,Quarterly security audit passed,SR-50012,powered_off,database;primary;critical;postgres,SRE Team,permanent
vm-pro-013,proxmox,pve-cluster-01,elasticsearch:log-team;kibana;logstash,true,,s3://backups/vm-pro-013,HR Systems,4,low,dc-eu-01,,Fleet VM instance 013 hosting infrastructure services,scsi0:120:nvme-pool:thin;scsi1:500:san-vol01:thick,staging,vm-ext-1013,vm-pro-013.example.com,true,2026-06-06,2026-07-06,2026-05-14,planned,65536,true,pve-node-03,Debian 12 Bookworm,linux,Debian,12.5,Jane Doe,true,10.0.10.23:100:10.0.10.1,198.51.100.23:200:198.51.100.1,,SR-50013,running,cache;redis;in-memory;high-throughput,SRE Team,permanent
vm-vmw-014,vmware,vsphere-cluster-03,haproxy:load-balancer-team;keepalived,false,172.16.10.24:300:172.16.10.1,s3://backups/vm-vmw-014,Logistics Platform,8,critical,dc-west-01,2026-10-28,Fleet VM instance 014 hosting infrastructure services,scsi0:30,staging,vm-ext-1014,vm-vmw-014.example.com,false,2026-06-09,2026-07-12,2026-05-21,retiring,8192,false,esxi-host-02,RHEL 9.2 Enterprise,linux,RedHat,9.2,Michael Brown,false,10.0.11.24:101:10.0.11.1,,Quarterly security audit passed,SR-50014,running,messaging;kafka;broker;event-driven,SRE Team,temporary
vm-vmw-015,vmware,vsphere-cluster-01,rabbitmq:messaging-team;worker:backend-team,true,,s3://backups/vm-vmw-015,Marketing Dept,32,medium,dc-west-01,,Fleet VM instance 015 hosting infrastructure services,harddisk1:100:san-storage-01:thick;harddisk2:1000:san-storage-02:thick,staging,vm-ext-1015,vm-vmw-015.example.com,true,2026-06-24,2026-07-24,2026-05-22,retired,32768,false,esxi-host-01,RHEL 9.2 Enterprise,linux,RedHat,9.2,Jane Doe,false,10.0.12.25:102:10.0.12.1,198.51.100.25:200:198.51.100.1,Quarterly security audit passed,SR-50015,running,search;elastic;cluster-node;heavy-io,Infrastructure Team,permanent
vm-pro-016,proxmox,pve-cluster-02,grafana:monitoring-team;prometheus;alertmanager,true,,,Retail Ops,16,medium,dc-east-01,2026-10-13,Fleet VM instance 016 hosting infrastructure services,scsi0:80:vsan-ds01,testing,vm-ext-1016,vm-pro-016.example.com,false,2026-06-20,2026-07-21,2026-05-11,retiring,65536,true,pve-node-03,Server 2022 Datacenter,windows,Windows Server,2022,Sarah Jenkins,true,10.0.12.26:102:10.0.12.1,198.51.100.26:200:198.51.100.1,Quarterly security audit passed,SR-50016,archived,dev;sandbox;experimental,Infrastructure Team,temporary
vm-pro-017,proxmox,pve-cluster-02,api-gateway;auth-service:security-team;rate-limiter,true,,s3://backups/vm-pro-017,Logistics Platform,16,medium,dc-east-01,,Fleet VM instance 017 hosting infrastructure services,scsi0:120:nvme-pool:thin;scsi1:500:san-vol01:thick,testing,vm-ext-1017,vm-pro-017.example.com,true,2026-06-05,2026-07-21,2026-05-23,planned,32768,true,pve-node-02,Ubuntu 22.04 LTS,linux,Ubuntu,22.04,Michael Brown,true,10.0.11.27:101:10.0.11.1,,,SR-50017,powered_off,search;elastic;cluster-node;heavy-io,DevOps Team,permanent
vm-pro-018,proxmox,pve-cluster-01,active-directory;dns-service;dhcp-server,true,172.16.10.28:300:172.16.10.1,s3://backups/vm-pro-018,Customer Success,16,critical,dc-east-01,2026-10-26,Fleet VM instance 018 hosting infrastructure services,scsi0:60:nvme-fast:thin,development,vm-ext-1018,vm-pro-018.example.com,false,2026-06-25,2026-07-08,2026-05-27,retiring,32768,true,pve-node-04,RHEL 9.2 Enterprise,linux,RedHat,9.2,Michael Brown,true,10.0.20.28:110:10.0.20.1,198.51.100.28:200:198.51.100.1,,SR-50018,running,dev;sandbox;experimental,Infrastructure Team,temporary
vm-pro-019,proxmox,pve-cluster-02,grafana:monitoring-team;prometheus;alertmanager,true,,s3://backups/vm-pro-019,Finance Corp,4,high,dc-east-01,,Fleet VM instance 019 hosting infrastructure services,scsi0:30,testing,vm-ext-1019,vm-pro-019.example.com,false,2026-06-19,2026-07-23,2026-05-01,planned,65536,true,pve-node-04,AlmaLinux 9.3,linux,AlmaLinux,9.3,John Smith,true,10.0.10.29:100:10.0.10.1,,Quarterly security audit passed,SR-50019,archived,web;prod;pci-dss;frontend,SecOps,permanent
vm-vmw-020,vmware,vsphere-cluster-02,grafana:monitoring-team;prometheus;alertmanager,true,172.16.10.30:300:172.16.10.1,s3://backups/vm-vmw-020,Logistics Platform,16,low,dc-west-02,2027-12-16,Fleet VM instance 020 hosting infrastructure services,scsi0:40:local-zfs:thin;scsi1:200:local-zfs:thin,development,vm-ext-1020,vm-vmw-020.example.com,true,2026-06-03,2026-07-21,2026-05-14,retiring,65536,true,esxi-host-04,Ubuntu 24.04 LTS,linux,Ubuntu,24.04,John Smith,true,10.0.15.30:105:10.0.15.1,,Quarterly security audit passed,SR-50020,suspended,k8s;worker;stateless;compute,SecOps,permanent
vm-pro-021,proxmox,pve-cluster-02,kafka:stream-team;zookeeper;schema-registry,true,,,Finance Corp,2,low,dc-west-01,2027-12-09,Fleet VM instance 021 hosting infrastructure services,scsi0:40:local-zfs:thin;scsi1:200:local-zfs:thin,development,vm-ext-1021,vm-pro-021.example.com,false,2026-06-27,2026-07-01,2026-05-20,retiring,65536,false,pve-node-04,Server 2019 Standard,windows,Windows Server,2019,David Chen,false,10.0.15.31:105:10.0.15.1,,,SR-50021,archived,k8s;worker;stateless;compute,Cloud Ops,permanent
vm-vmw-022,vmware,vsphere-cluster-03,api-gateway;auth-service:security-team;rate-limiter,true,172.16.10.32:300:172.16.10.1,s3://backups/vm-vmw-022,Engineering,4,low,dc-eu-01,,Fleet VM instance 022 hosting infrastructure services,harddisk1:100:san-storage-01:thick;harddisk2:1000:san-storage-02:thick,development,vm-ext-1022,vm-vmw-022.example.com,false,2026-06-19,2026-07-23,2026-05-27,active,8192,true,esxi-host-01,AlmaLinux 9.3,linux,AlmaLinux,9.3,Jane Doe,true,10.0.20.32:110:10.0.20.1,198.51.100.32:200:198.51.100.1,,SR-50022,archived,staging;campaign;temp;marketing,DevOps Team,permanent
vm-pro-023,proxmox,pve-cluster-01,mongodb:database-team;express-api,true,,s3://backups/vm-pro-023,Marketing Dept,8,medium,dc-eu-01,,Fleet VM instance 023 hosting infrastructure services,scsi0:30,sandbox,vm-ext-1023,vm-pro-023.example.com,true,2026-06-25,2026-07-16,2026-05-15,active,65536,false,pve-node-03,Server 2019 Standard,windows,Windows Server,2019,Michael Brown,false,10.0.15.33:105:10.0.15.1,198.51.100.33:200:198.51.100.1,Quarterly security audit passed,SR-50023,archived,monitoring;metrics;prometheus;ops,Platform Eng,permanent
vm-vmw-024,vmware,vsphere-cluster-02,grafana:monitoring-team;prometheus;alertmanager,true,,,Retail Ops,8,low,dc-east-01,,Fleet VM instance 024 hosting infrastructure services,scsi0:30,testing,vm-ext-1024,vm-vmw-024.example.com,true,2026-06-07,2026-07-03,2026-05-08,retired,4096,true,esxi-host-02,AlmaLinux 9.3,linux,AlmaLinux,9.3,Maria Garcia,true,10.0.15.34:105:10.0.15.1,,,SR-50024,unknown,messaging;kafka;broker;event-driven,Cloud Ops,permanent
vm-pro-025,proxmox,pve-cluster-02,kafka:stream-team;zookeeper;schema-registry,true,,,Marketing Dept,32,critical,dc-west-02,2027-12-23,Fleet VM instance 025 hosting infrastructure services,scsi0:40:local-zfs:thin;scsi1:200:local-zfs:thin,production,vm-ext-1025,vm-pro-025.example.com,false,2026-06-11,2026-07-04,2026-05-24,retiring,32768,true,pve-node-04,Ubuntu 22.04 LTS,linux,Ubuntu,22.04,Alex Lee,true,10.0.12.35:102:10.0.12.1,198.51.100.35:200:198.51.100.1,Quarterly security audit passed,SR-50025,powered_off,windows;ad;domain-controller;core,Platform Eng,permanent
vm-vmw-026,vmware,vsphere-cluster-02,rabbitmq:messaging-team;worker:backend-team,true,172.16.10.36:300:172.16.10.1,,Finance Corp,4,critical,dc-eu-01,,Fleet VM instance 026 hosting infrastructure services,scsi0:80:vsan-ds01,testing,vm-ext-1026,vm-vmw-026.example.com,true,2026-06-10,2026-07-16,2026-05-16,active,8192,true,esxi-host-05,Debian 12 Bookworm,linux,Debian,12.5,Jane Doe,false,10.0.11.36:101:10.0.11.1,,,SR-50026,suspended,k8s;worker;stateless;compute,Infrastructure Team,permanent
vm-pro-027,proxmox,pve-cluster-02,iis;sqlserver:data-team,true,172.16.10.37:300:172.16.10.1,s3://backups/vm-pro-027,Finance Corp,8,low,dc-east-01,2026-10-19,Fleet VM instance 027 hosting infrastructure services,scsi0:30,production,vm-ext-1027,vm-pro-027.example.com,false,2026-06-15,2026-07-10,2026-05-28,retiring,2048,true,pve-node-04,Server 2022 Datacenter,windows,Windows Server,2022,John Smith,true,10.0.10.37:100:10.0.10.1,,,SR-50027,running,monitoring;metrics;prometheus;ops,Infrastructure Team,temporary
vm-pro-028,proxmox,pve-cluster-01,celery:backend-team;redis:cache-team,true,,,Finance Corp,32,critical,dc-east-02,,Fleet VM instance 028 hosting infrastructure services,harddisk1:100:san-storage-01:thick;harddisk2:1000:san-storage-02:thick,testing,vm-ext-1028,vm-pro-028.example.com,false,2026-06-26,2026-07-21,2026-05-19,active,16384,true,pve-node-02,AlmaLinux 9.3,linux,AlmaLinux,9.3,Alex Lee,false,10.0.10.38:100:10.0.10.1,,,SR-50028,powered_off,database;primary;critical;postgres,Database Admins,permanent
vm-pro-029,proxmox,pve-cluster-01,api-gateway;auth-service:security-team;rate-limiter,true,,,Customer Success,16,critical,dc-east-02,,Fleet VM instance 029 hosting infrastructure services,scsi0:120:nvme-pool:thin;scsi1:500:san-vol01:thick,production,vm-ext-1029,vm-pro-029.example.com,false,2026-06-11,2026-07-20,2026-05-09,retired,65536,true,pve-node-03,Server 2022 Datacenter,windows,Windows Server,2022,Alex Lee,true,10.0.20.39:110:10.0.20.1,198.51.100.39:200:198.51.100.1,,SR-50029,suspended,windows;ad;domain-controller;core,SecOps,permanent
vm-pro-030,proxmox,pve-cluster-02,rabbitmq:messaging-team;worker:backend-team,true,,s3://backups/vm-pro-030,Customer Success,16,low,dc-east-02,,Fleet VM instance 030 hosting infrastructure services,disk0:80:vsan-datastore:thin,dr,vm-ext-1030,vm-pro-030.example.com,false,2026-06-18,2026-07-02,2026-05-15,retired,8192,true,pve-node-01,RHEL 9.2 Enterprise,linux,RedHat,9.2,Alex Lee,true,10.0.15.40:105:10.0.15.1,198.51.100.40:200:198.51.100.1,Quarterly security audit passed,SR-50030,running,staging;campaign;temp;marketing,DevOps Team,permanent
vm-vmw-031,vmware,vsphere-cluster-01,iis;sqlserver:data-team,true,,,HR Systems,16,low,dc-eu-01,2026-10-07,Fleet VM instance 031 hosting infrastructure services,scsi0:40:local-zfs:thin;scsi1:200:local-zfs:thin,production,vm-ext-1031,vm-vmw-031.example.com,true,2026-06-26,2026-07-08,2026-05-23,retiring,2048,true,esxi-host-04,AlmaLinux 9.3,linux,AlmaLinux,9.3,John Smith,false,10.0.12.41:102:10.0.12.1,198.51.100.41:200:198.51.100.1,Quarterly security audit passed,SR-50031,running,messaging;kafka;broker;event-driven,Infrastructure Team,temporary
vm-pro-032,proxmox,pve-cluster-02,nginx:web-team;postgres:database-team;redis,true,,,Marketing Dept,16,low,dc-east-02,2027-12-23,Fleet VM instance 032 hosting infrastructure services,scsi0:60:nvme-fast:thin,production,vm-ext-1032,vm-pro-032.example.com,true,2026-06-25,2026-07-14,2026-05-11,retiring,16384,false,pve-node-01,Debian 12 Bookworm,linux,Debian,12.5,John Smith,false,10.0.20.42:110:10.0.20.1,198.51.100.42:200:198.51.100.1,,SR-50032,running,staging;campaign;temp;marketing,Infrastructure Team,permanent
vm-vmw-033,vmware,vsphere-cluster-03,grafana:monitoring-team;prometheus;alertmanager,false,172.16.10.43:300:172.16.10.1,s3://backups/vm-vmw-033,Engineering,4,low,dc-west-02,2026-10-11,Fleet VM instance 033 hosting infrastructure services,scsi0:40:local-zfs:thin;scsi1:200:local-zfs:thin,staging,vm-ext-1033,vm-vmw-033.example.com,true,2026-06-13,2026-07-22,2026-05-26,retiring,65536,true,esxi-host-05,AlmaLinux 9.3,linux,AlmaLinux,9.3,John Smith,false,10.0.20.43:110:10.0.20.1,,Quarterly security audit passed,SR-50033,archived,web;prod;pci-dss;frontend,SecOps,temporary
vm-pro-034,proxmox,pve-cluster-02,gitlab-runner;docker-registry,true,172.16.10.44:300:172.16.10.1,s3://backups/vm-pro-034,Customer Success,8,low,dc-west-02,2027-12-28,Fleet VM instance 034 hosting infrastructure services,scsi0:120:nvme-pool:thin;scsi1:500:san-vol01:thick,production,vm-ext-1034,vm-pro-034.example.com,true,2026-06-23,2026-07-25,2026-05-16,retiring,8192,true,pve-node-01,Server 2022 Datacenter,windows,Windows Server,2022,David Chen,true,10.0.11.44:101:10.0.11.1,,,SR-50034,running,database;primary;critical;postgres,SecOps,permanent
vm-pro-035,proxmox,pve-cluster-02,grafana:monitoring-team;prometheus;alertmanager,true,,,HR Systems,2,critical,dc-east-01,,Fleet VM instance 035 hosting infrastructure services,harddisk1:100:san-storage-01:thick;harddisk2:1000:san-storage-02:thick,sandbox,vm-ext-1035,vm-pro-035.example.com,true,2026-06-28,2026-07-13,2026-05-20,active,8192,true,pve-node-02,Server 2022 Datacenter,windows,Windows Server,2022,Alex Lee,false,10.0.12.45:102:10.0.12.1,198.51.100.45:200:198.51.100.1,,SR-50035,unknown,monitoring;metrics;prometheus;ops,SecOps,permanent
vm-pro-036,proxmox,pve-cluster-01,mongodb:database-team;express-api,true,,s3://backups/vm-pro-036,Customer Success,8,medium,dc-west-01,,Fleet VM instance 036 hosting infrastructure services,scsi0:60:nvme-fast:thin,dr,vm-ext-1036,vm-pro-036.example.com,true,2026-06-13,2026-07-19,2026-05-12,planned,32768,true,pve-node-04,Server 2022 Datacenter,windows,Windows Server,2022,Alex Lee,true,10.0.20.46:110:10.0.20.1,,,SR-50036,unknown,staging;campaign;temp;marketing,SecOps,permanent
vm-pro-037,proxmox,pve-cluster-02,mongodb:database-team;express-api,true,,s3://backups/vm-pro-037,Customer Success,8,low,dc-east-01,,Fleet VM instance 037 hosting infrastructure services,disk0:250:ssd-array:thick;disk1:500:hdd-array:thick,production,vm-ext-1037,vm-pro-037.example.com,true,2026-06-15,2026-07-02,2026-05-19,retired,65536,true,pve-node-03,Server 2019 Standard,windows,Windows Server,2019,Michael Brown,true,10.0.12.47:102:10.0.12.1,,,SR-50037,powered_off,k8s;worker;stateless;compute,SRE Team,permanent
vm-pro-038,proxmox,pve-cluster-02,api-gateway;auth-service:security-team;rate-limiter,false,,,Logistics Platform,16,high,dc-west-02,,Fleet VM instance 038 hosting infrastructure services,disk0:250:ssd-array:thick;disk1:500:hdd-array:thick,staging,vm-ext-1038,vm-pro-038.example.com,true,2026-06-22,2026-07-13,2026-05-28,retired,8192,true,pve-node-03,AlmaLinux 9.3,linux,AlmaLinux,9.3,Sarah Jenkins,true,10.0.12.48:102:10.0.12.1,198.51.100.48:200:198.51.100.1,Quarterly security audit passed,SR-50038,archived,search;elastic;cluster-node;heavy-io,Cloud Ops,permanent
vm-pro-039,proxmox,pve-cluster-02,api-gateway;auth-service:security-team;rate-limiter,true,172.16.10.49:300:172.16.10.1,s3://backups/vm-pro-039,Retail Ops,32,medium,dc-west-02,2026-10-04,Fleet VM instance 039 hosting infrastructure services,disk0:80:vsan-datastore:thin,uat,vm-ext-1039,vm-pro-039.example.com,false,2026-06-02,2026-07-10,2026-05-16,retiring,8192,true,pve-node-01,Server 2022 Datacenter,windows,Windows Server,2022,David Chen,false,10.0.11.49:101:10.0.11.1,198.51.100.49:200:198.51.100.1,,SR-50039,archived,windows;ad;domain-controller;core,Platform Eng,temporary
vm-pro-040,proxmox,pve-cluster-02,iis;sqlserver:data-team,true,172.16.10.50:300:172.16.10.1,s3://backups/vm-pro-040,Retail Ops,2,high,dc-west-01,2026-10-27,Fleet VM instance 040 hosting infrastructure services,scsi0:30,sandbox,vm-ext-1040,vm-pro-040.example.com,true,2026-06-21,2026-07-12,2026-05-02,retiring,65536,true,pve-node-04,RHEL 9.2 Enterprise,linux,RedHat,9.2,Alex Lee,true,10.0.20.50:110:10.0.20.1,198.51.100.50:200:198.51.100.1,Quarterly security audit passed,SR-50040,running,windows;ad;domain-controller;core,SecOps,temporary
vm-pro-041,proxmox,pve-cluster-02,elasticsearch:log-team;kibana;logstash,false,172.16.10.51:300:172.16.10.1,,Retail Ops,32,critical,dc-east-02,,Fleet VM instance 041 hosting infrastructure services,scsi0:60:nvme-fast:thin,production,vm-ext-1041,vm-pro-041.example.com,true,2026-06-05,2026-07-05,2026-05-18,active,4096,true,pve-node-01,Server 2019 Standard,windows,Windows Server,2019,David Chen,true,10.0.20.51:110:10.0.20.1,,Quarterly security audit passed,SR-50041,powered_off,database;primary;critical;postgres,SRE Team,permanent
vm-pro-042,proxmox,pve-cluster-01,grafana:monitoring-team;prometheus;alertmanager,true,172.16.10.52:300:172.16.10.1,,Logistics Platform,2,medium,dc-west-01,,Fleet VM instance 042 hosting infrastructure services,scsi0:60:nvme-fast:thin,development,vm-ext-1042,vm-pro-042.example.com,true,2026-06-28,2026-07-22,2026-05-17,planned,16384,false,pve-node-01,Ubuntu 24.04 LTS,linux,Ubuntu,24.04,Maria Garcia,true,10.0.11.52:101:10.0.11.1,198.51.100.52:200:198.51.100.1,Quarterly security audit passed,SR-50042,running,web;prod;pci-dss;frontend,Cloud Ops,permanent
vm-pro-043,proxmox,pve-cluster-02,celery:backend-team;redis:cache-team,true,,s3://backups/vm-pro-043,Engineering,32,low,dc-west-02,2026-10-03,Fleet VM instance 043 hosting infrastructure services,harddisk1:100:san-storage-01:thick;harddisk2:1000:san-storage-02:thick,production,vm-ext-1043,vm-pro-043.example.com,true,2026-06-23,2026-07-04,2026-05-28,retiring,65536,true,pve-node-04,Debian 12 Bookworm,linux,Debian,12.5,David Chen,true,10.0.20.53:110:10.0.20.1,,,SR-50043,running,dev;sandbox;experimental,Platform Eng,temporary
vm-pro-044,proxmox,pve-cluster-02,celery:backend-team;redis:cache-team,true,,s3://backups/vm-pro-044,Logistics Platform,16,low,dc-west-02,2027-12-11,Fleet VM instance 044 hosting infrastructure services,disk0:80:vsan-datastore:thin,sandbox,vm-ext-1044,vm-pro-044.example.com,true,2026-06-18,2026-07-18,2026-05-11,retiring,2048,false,pve-node-03,Server 2022 Datacenter,windows,Windows Server,2022,Jane Doe,false,10.0.12.54:102:10.0.12.1,,Quarterly security audit passed,SR-50044,archived,cache;redis;in-memory;high-throughput,DevOps Team,permanent
vm-vmw-045,vmware,vsphere-cluster-03,nginx:web-team;postgres:database-team;redis,true,,s3://backups/vm-vmw-045,Logistics Platform,32,medium,dc-west-01,,Fleet VM instance 045 hosting infrastructure services,scsi0:60:nvme-fast:thin,testing,vm-ext-1045,vm-vmw-045.example.com,true,2026-06-21,2026-07-18,2026-05-01,active,8192,true,esxi-host-01,Server 2022 Datacenter,windows,Windows Server,2022,Jane Doe,true,10.0.15.55:105:10.0.15.1,,Quarterly security audit passed,SR-50045,powered_off,k8s;worker;stateless;compute,Cloud Ops,permanent
vm-vmw-046,vmware,vsphere-cluster-03,elasticsearch:log-team;kibana;logstash,false,172.16.10.56:300:172.16.10.1,s3://backups/vm-vmw-046,Engineering,2,critical,dc-west-01,,Fleet VM instance 046 hosting infrastructure services,scsi0:40:local-zfs:thin;scsi1:200:local-zfs:thin,uat,vm-ext-1046,vm-vmw-046.example.com,false,2026-06-20,2026-07-03,2026-05-02,retired,2048,true,esxi-host-03,Server 2022 Datacenter,windows,Windows Server,2022,Sarah Jenkins,true,10.0.15.56:105:10.0.15.1,,Quarterly security audit passed,SR-50046,running,monitoring;metrics;prometheus;ops,Database Admins,permanent
